code accident;date;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1516-73-02;05/01/2016;11:50;73;val d'isere;haute tarentaise;super santon;44.266;6.5724;2375;35-39;SE;4;1;1;1;0;0;1;0;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;50;80;;;
1516-73-03;05/01/2016;10:24;73;val d'isere;haute tarentaise;HP du Cairn / Bellevarde;45.2639;6.5717;2650;40-44;E;3;3;2;2;0;0;0;1;2;hors-piste;ski;travers‚e;4;sŠche;;lin‚aire;accidentelle soi-mˆme;80;70;;;;
1516-73-04;09/01/2016;13:00;73;les allues;vanoise;mont de p‚clet;;;;;;1;1;0;0;0;0;0;0;1;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;150;;;;;
1516-73-05;13/01/2016;13:54;73;tignes;haute tarentaise;pentes du lac de Tignes;45.2751;6.5438;2205;35-39;NO;1;1;0;0;0;1;0;1;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;80;100;;;
1516-73-06;17/01/2016;16:30;73;saint martin de belleville;vanoise;piste david douillet;;;;;;1;1;0;0;0;0;0;0;1;piste;ski;descente;3;;;lin‚aire;;;30;;;;
1516-73-07;18/01/2016;15:05;73;tignes;haute tarentaise;couloir des gendarmes;;;2600;35-39;NE;4;1;0;0;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;300;60;50;;;
1516-73-08;18/01/2016;13:05;73;modane;haute maurienne;col du petit argentier;45.8847;6.385322;2600;>45;E;52;18;11;8;3;7;6;8;4;randonn‚e;ski;mont‚e;3;sŠche;;lin‚aire;accidentelle soi-mˆme;260;220;180;;;
1516-73-09;20/01/2016;12:25;73;les allues;vanoise;crˆte roc des trois/mont de la chambre versant est;45.1958;6.3421;2650;>45;E;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;130;180;200;;;
1516-73-10;21/01/2016;;73;champagny en vanoise;vanoise;combe des arri‚r‚s;;;;;;3;3;0;0;0;0;0;0;3;hors-piste;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;200;;;;
1516-73-11;21/01/2016;13:55;73;la cote d'aime;beaufortain;mont rosset;;;2440;;;1;1;0;0;0;0;0;1;0;randonn‚e;ski;;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-12;25/01/2016;14:50;73;champagny en vanoise;vanoise;vallon de la veliŠre;;;;>45;S;3;1;0;0;0;0;0;1;0;randonn‚e;… pieds;travers‚e;;humide;tendre;;naturelle;;;;;;
1516-73-13;27/01/2016;11:38;73;saint bon courchevel;vanoise;couloir du ruisseau de la planche / vall‚e des avanchers;45.225;6.3939;2490;30-34;NE;9;4;0;0;0;1;0;1;3;hors-piste;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;50;30;;;
1516-73-14;06/02/2016;14:35;73;landry;vanoise;couloir NO aiguille grive;;;;;;3;1;0;0;0;1;0;1;0;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-15;13/02/2016;12:55;73;la perriŠre;vanoise;les lanches;45.2440;6.3555;2150;40-44;N;1;1;1;0;1;0;1;0;0;hors-piste;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;380;50;;;;
1516-73-16;15/02/2016;16:25;73;bonneval sur arc;haute maurienne;pointe d'andagne;45.205578;7.33119;3000;40-44;O;4;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;150;100;;;
1516-73-17;15/03/2016;14:15;73;saint martin belleville;vanoise;face SE cochet;;;1700;;;2;2;0;0;0;0;0;0;2;randonn‚e;ski;mont‚e;;;;;;;;;;;
1516-73-18;05/04/2016;10:30;73;bessans;haute maurienne;piste noire de fond Barmette / couloir issu pointe de Tierce;45.1857;7.021;1970;35-39;NO;12;7;0;0;0;3;0;2;5;piste;ski;arrˆt;3;humide;tendre;lin‚aire;naturelle;220;30;120;;;
1516-73-19;19/04/2016;13:05;73;tignes;haute tarentaise;rocher de la grande balme;;;2880;40-44;N;4;1;0;0;0;1;0;1;0;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;280;40;80;;;
1516-74-01;03/01/2016;12:45;74;chamonix;mont blanc;petite verte grand montets;45.56404;6.57465;3390;30-34;N;3;3;1;0;1;1;2;0;1;alpinisme;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;290;40;50;;;
1516-74-02;11/01/2016;;74;chamonix;mont blanc;route col des montets;;;;;;1;1;0;0;0;0;0;0;1;voie de communication;;;4;;;;naturelle;;;;;;
1516-74-03;13/01/2016;13:35;74;morzine;chablais;secteur arare;;;2255;40-44;NO;5;1;0;0;0;0;0;1;0;piste;ski;descente;3;sŠche;dure;lin‚aire;naturelle;110;60;250;;;
1516-74-04;30/01/2016;09:57;74;la clusaz;aravis;combe du grand crˆt / tˆte pelouse;45.54349;6.30369;2500;40-44;NO;2;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;440;150;150;;;
1516-74-05;12/02/2016;;74;chamonix;mont blanc;couloir ortha;;;;;NO;2;2;0;0;0;0;0;1;1;randonn‚e;raquettes;travers‚e;;;;;;;;;;;
1617-74-02;12/02/2017;08:30;74;praz sur arly;mont blanc;secteur V‚ry;45.86422029545258;6.450720593279136;2250;35-39;NO;1;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;375;150;150;;;
1516-74-06;27/02/2016;18:00;74;saint gervais les bains;mont blanc;mont lachat;45.86414678597452;6.79344642010466;2015;30-34;O;1;1;0;0;0;1;0;1;0;randonn‚e;raquettes;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;50;200;;;
