code accident;date;heure;d‚partement;commune;massif;site;"coordonn‚es
zone d‚part";altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1516-74-05;12/02/2016;;74;chamonix;mont blanc;couloir ortha;;;;NO;2;2;0;0;0;0;0;1;1;randonn‚e;raquettes;travers‚e;;;;;;;;;;;
1516-74-06;27/02/2016;18:00;74;saint gervais les bains;mont blanc;mont lachat;32T0328725 / 5081321;2015;30-34;O;1;1;0;0;0;1;0;1;0;randonn‚e;raquettes;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;50;200;;;
1516-74-07;27/02/2016;10:15;74;chamonix;mont blanc;lac du br‚vent;32T331433 / 5088949;2100;30-34;SO;1;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;75;;;;
1516-74-08;27/02/2016;11:10;74;la clusaz;aravis;combe de la grande forclaz;32T0307842 / 5089692;1980;35-39;NO;3;1;1;1;0;0;0;0;1;randonn‚e;ski;descente;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;90;30;40;;;
1516-74-09;27/02/2016;13:45;74;sixt fer … cheval;chablais;couloir du lion;32T 0331591 / 5098664;1750;35-39;SE;1;1;0;0;0;1;0;1;0;randonn‚e;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;naturelle;100;20;200;;;
1516-74-10;09/03/2016;;74;le petit bornand des gliŠres;aravis;pointe de sosay;;;;;3;2;1;1;0;0;1;0;1;randonn‚e;ski;;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;150;;;
1516-74-11;20/06/2016;11:30;74;chamonix;mont blanc;tacul;32T0335837 /  5080822;4020;30-34;NO;2;3;1;0;1;2;1;2;0;alpinisme;… pieds;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;1200;60;80;;;
1516-88-01;03/03/2016;13:45;88;saint maurice sur moselle;ballon d'alsace;belvedere de birken;"6ø50'46"" / 47ø49'26""";1225;>45;E;2;1;0;0;0;1;0;1;0;randonn‚e;ski;travers‚e;;humide;;lin‚aire;accidentelle soi-mˆme;200;50;;;;
1415-04-01;08/02/2015;11:20;04;le vernet;ubaye;sommet grisonniere;32T293313 / 4904154;1910;35-39;NO;4;1;0;0;0;1;1;0;0;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;360;50;30;;;
1415-05-01;31/12/2014;12:50;05;le monetier les bains;thabor;secteur col du galibier;"45ø3'35.3"" / 6ø23'56.4""";2750;30-34;E;4;1;1;1;0;0;1;0;0;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;100;70;;;
1415-05-02;18/01/2015;13:00;05;puy saint vincent;pelvoux;col du bal;;2400;;NE;3;3;2;2;0;0;0;2;1;hors-piste;ski;descente;4;sŠche;;lin‚aire;accidentelle soi-mˆme;300;;;;;
1415-05-03;21/01/2015;09:55;05;puy saint vincent;pelvoux;couloir des faveyrettes;"44ø48'37.1"" / 6ø27'30.5""";2350;35-39;NO;2;2;1;0;1;1;2;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;400;15;100;;;
1415-05-04;24/01/2015;11:40;05;ceillac;queyras;combe du bachas;"44ø38'16.8"" / 6ø45'59.7""";2770;35-39;NE;6;6;6;6;0;0;6;0;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;450;200;80;;;
1415-05-05;06/02/2015;;05;le monetier les bains;thabor;ruisseau rif blanc;;;;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;;;;;;;;;;;;
1415-05-06;08/02/2015;13:30;05;molines en queyras;queyras;route col agnel;"44ø41'53.0"" / 6ø56'55.8""";2340;30-34;SO;1;1;1;1;0;0;1;0;0;randonn‚e;raquettes;travers‚e;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;120;120;;;
1415-05-07;09/02/2015;10:45;05;cerviŠres;queyras;col de chaudemaison;;2400;30-34;O;3;1;1;1;0;0;1;0;0;randonn‚e;ski;travers‚e;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;40;50;;;
1415-05-08;14/02/2015;16:00;05;le monetier les bains;pelvoux;source des fraches;;2200;>45;NO;1;1;0;0;0;1;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;240;2;15;;;
1415-05-09;16/02/2015;;05;cerviŠres;queyras;col perdu;"44ø49'17.2"" / 6ø44'30.4""";2550;35-39;NO;2;2;2;2;0;0;2;0;0;randonn‚e;raquettes;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;70;70;;;
